column,block,source_file_line,definition,grain,source_records,event_subset,window,statistic,denominator_exposure,zero_semantics,missing_semantics,asof_rule,coding_era_dependence,intended_model_families,est_compute_cost,parity_class,parity_evidence
b1_history_coverage_grade,B1,factory/blocks.py:96; emitter factory/blocks.py:271-325,none / left_censored / partial / full -- coverage of the observable window by recorded history.,vehicle,vehicle_day atom (results + items),prior_test,lifetime,status,n/a,n/a,none / left_censored / partial / full,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,YES,tree-native categorical (CatBoost/LightGBM cat_features); MLP/RealMLP and context models need an explicit encoder (fit_contract.py:249-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),equivalent,"the THIN-HISTORY indicator (factory/blocks.py:96; rule at factory/blocks.py:290-298, threshold 0.6 of the observable window). MEASURED flat4y/r1m n=999,999: range ['full' .. 'partial'], NULL 0.000%"
b1_left_censor_flag,B1,factory/blocks.py:97; emitter factory/blocks.py:271-325,"TRUE when first_use_date precedes the 2005 digital-records floor (history is truncated by the publication, not by the vehicle).",vehicle,vehicle_day atom (results + items),observability_window,lifetime,presence,n/a,False = not truncated by the 2005 floor,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,YES,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),equivalent,"the LEFT-CENSORING flag at lifetime scope (factory/blocks.py:97). Per-window left-censoring is not shipped. MEASURED flat4y/r1m n=999,999: range [False .. True], NULL 0.000%"
b1_first_use_missing_flag,B1,factory/blocks.py:98; emitter factory/blocks.py:271-325,TRUE when first_use_date is NULL after ingest sanitisation.,vehicle,vehicle_day atom (results + items),vehicle_attribute,lifetime,presence,n/a,False = first_use_date present,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),equivalent,"the companion indicator for b1_age_at_target_years (factory/blocks.py:98). MEASURED flat4y/r1m n=999,999: range [False .. True], NULL 0.000%"
b1_age_at_target_years,B1,factory/blocks.py:99; emitter factory/blocks.py:271-325,(tgt_date - first_use_date) / 365.25; NULL when first_use_date is missing (never zero-filled).,vehicle,vehicle_day atom (results + items),vehicle_attribute,none,duration,years,n/a,"NULL when first_use_date is missing, never zero-filled (factory/blocks.py:99)",as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),partial,"NON-CUBE vehicle age; it does ship its own missingness flag. max 119.99 years indicates an un-sanitised first_use_date tail; MEASURED flat4y/r1m n=999,999: range [-0.0 .. 119.99452429842573], NULL 0.004%"
b1_density_per_observable_year,B1,factory/blocks.py:100; emitter factory/blocks.py:271-325,b1_n_prior_test_days / b1_observable_years; NULL when the window is non-positive.,vehicle,vehicle_day atom (results + items),prior_test,lifetime,rate,per year of OBSERVABLE history,0.0 = no priors in a positive window,NULL when the window is non-positive,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,YES (2005 floor),all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),equivalent,"per-year exposure normalisation that ships BOTH raw terms (b1_n_prior_test_days and b1_observable_years). MEASURED flat4y/r1m n=999,999: range [-0.0 .. 28.096153846153843], NULL 0.002%"
b1_opportunity_adjusted_density,B1,factory/blocks.py:101; emitter factory/blocks.py:271-325,"b1_n_prior_test_days / testable years, where testable years excludes the pre-first-MOT 3 years and the 2020 COVID extension overlap.",vehicle,vehicle_day atom (results + items),prior_test,lifetime,rate,per TESTABLE year (observable minus the pre-first-MOT 3 years minus the COVID-extension overlap),0.0 = no priors,NULL when testable years <= 0,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,YES (2005 floor plus the 2020 COVID window),all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),partial,"DENOMINATOR NOT SHIPPED: testable_years is computed at factory/blocks.py:281-288 and never emitted, so the ratio cannot be decomposed. max 2556.75 is a near-zero-denominator blow-up; MEASURED flat4y/r1m n=999,999: range [-0.0 .. 2556.75], NULL 6.488%"
b1_n_prior_years_observed,B1,factory/blocks.py:102; emitter factory/blocks.py:271-325,Distinct calendar years carrying >=1 prior test-day.,vehicle,vehicle_day atom (results + items),prior_test,lifetime,distinct_periods,raw count,0 = no priors,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),partial,"distinct calendar YEARS carrying a prior test-day (factory/blocks.py:102) - a history-coverage measure, but not the ITEM-data coverage the cube asks for. MEASURED flat4y/r1m n=999,999: range [0 .. 19], NULL 0.000%"
b1_max_gap_days,B1,factory/blocks.py:103; emitter factory/blocks.py:271-325,Longest gap in days between consecutive prior test-days; NULL with <2 priors.,vehicle,vehicle_day atom (results + items),prior_test,lifetime,max,days between consecutive test-days,n/a,NULL with fewer than 2 priors (factory/blocks.py:103),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),partial,"the MAX of the inter-occurrence gap distribution - one of only three genuine max statistics in the 241. Its min and sd are absent, so range and volatility cannot be formed. MEASURED flat4y/r1m n=999,999: range [1 .. 5916], NULL 15.561%"
b1_mean_gap_days,B1,factory/blocks.py:104; emitter factory/blocks.py:271-325,Mean gap in days between consecutive prior test-days; NULL with <2 priors.,vehicle,vehicle_day atom (results + items),prior_test,lifetime,mean,days between consecutive test-days,n/a,NULL with fewer than 2 priors,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),partial,"the MEAN inter-occurrence gap, for the prior-test event only. No mileage-gap twin, and no equivalent for fail, advisory or category recurrence. MEASURED flat4y/r1m n=999,999: range [1.0 .. 5916.0], NULL 15.561%"
b1_n_prior_nonresult_days,B1,factory/blocks.py:105; emitter factory/blocks.py:271-325,"Prior test-days carrying no definitive outcome at all (abandoned/aborted/refused only). Distinct from b5_n_prior_nondefinitive_days, which is a CLUSTER-OUTCOME property.",vehicle x prior test-DAY,vehicle_day atom (results + items),nonresult,lifetime,count,raw count,0 = every prior day carried a definitive outcome,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(1) read of a running scalar folded once per prior day (factory/state.py:317-477),equivalent,"days with NO definitive outcome at all (factory/blocks.py:105); deliberately overlaps b5_n_prior_nondefinitive_days (DEVIATIONS.md J16). MEASURED flat4y/r1m n=999,999: range [0 .. 3], NULL 0.000%"
b1_n_prior_test_days_cap2y,B1,factory/blocks.py:110-111; emitter factory/blocks.py:271-325,b1_n_prior_test_days restricted to the trailing 2-year window before tgt_date (strictly-earlier-day rule still applies inside it).,vehicle x prior test-DAY,vehicle_day atom (results + items),prior_test,trailing_2y,count,raw count,0 = no prior day inside the window,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(log n) bisect over a bounded ascending date list (factory/state.py:278-303),equivalent,"OBSERVABLE TEST COUNT per window - the first of the four window supports (factory/blocks.py:110-111). MEASURED flat4y/r1m n=999,999: range [0 .. 10], NULL 0.000%"
b1_n_prior_initials_cap2y,B1,factory/blocks.py:112-113; emitter factory/blocks.py:271-325,b1_n_prior_initials restricted to the trailing 2-year window before tgt_date.,vehicle x prior test RECORD,vehicle_day atom (results + items),prior_test,trailing_2y,count,raw count,0 = none in window,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,n/a,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(log n) bisect over a bounded ascending date list (factory/state.py:278-303),different_window_or_semantics,"RESEARCH-ONLY (consumes test_type in history, factory/blocks.py:112-113). MEASURED flat4y/r1m n=999,999: range [0 .. 8], NULL 0.000%"
b1_history_years_cap2y,B1,factory/blocks.py:114-115; emitter factory/blocks.py:271-325,"Observed span INSIDE the trailing 2-year window: (tgt_date - earliest in-window prior test-day) / 365.25; NULL when no prior falls in the window. NOT min(b1_history_years, 2).",vehicle x prior test-DAY,vehicle_day atom (results + items),prior_test,trailing_2y,duration,years,n/a,NULL when no prior falls in the window (factory/blocks.py:114-115),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(log n) bisect over a bounded ascending date list (factory/state.py:278-303),equivalent,"CALENDAR DURATION OBSERVED inside the window - deliberately NOT min(b1_history_years, 2); pinned by falsifier F12. MEASURED flat4y/r1m n=999,999: range [0.0027378507871321013 .. 1.995893223819302], NULL 8.503%"
b1_n_prior_test_days_cap5y,B1,factory/blocks.py:110-111; emitter factory/blocks.py:271-325,b1_n_prior_test_days restricted to the trailing 5-year window before tgt_date (strictly-earlier-day rule still applies inside it).,vehicle x prior test-DAY,vehicle_day atom (results + items),prior_test,trailing_5y,count,raw count,0 = no prior day inside the window,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(log n) bisect over a bounded ascending date list (factory/state.py:278-303),equivalent,"OBSERVABLE TEST COUNT per window - the first of the four window supports (factory/blocks.py:110-111). MEASURED flat4y/r1m n=999,999: range [0 .. 20], NULL 0.000%"
b1_n_prior_initials_cap5y,B1,factory/blocks.py:112-113; emitter factory/blocks.py:271-325,b1_n_prior_initials restricted to the trailing 5-year window before tgt_date.,vehicle x prior test RECORD,vehicle_day atom (results + items),prior_test,trailing_5y,count,raw count,0 = none in window,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,n/a,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(log n) bisect over a bounded ascending date list (factory/state.py:278-303),different_window_or_semantics,"RESEARCH-ONLY (consumes test_type in history, factory/blocks.py:112-113). MEASURED flat4y/r1m n=999,999: range [0 .. 15], NULL 0.000%"
b1_history_years_cap5y,B1,factory/blocks.py:114-115; emitter factory/blocks.py:271-325,"Observed span INSIDE the trailing 5-year window: (tgt_date - earliest in-window prior test-day) / 365.25; NULL when no prior falls in the window. NOT min(b1_history_years, 5).",vehicle x prior test-DAY,vehicle_day atom (results + items),prior_test,trailing_5y,duration,years,n/a,NULL when no prior falls in the window (factory/blocks.py:114-115),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),low: O(log n) bisect over a bounded ascending date list (factory/state.py:278-303),equivalent,"CALENDAR DURATION OBSERVED inside the window - deliberately NOT min(b1_history_years, 5); pinned by falsifier F12. MEASURED flat4y/r1m n=999,999: range [0.0027378507871321013 .. 4.996577686516085], NULL 7.752%"
b2_brakes_n_days,B2,factory/blocks.py:119-121; emitter factory/blocks.py:328-345,Prior test-days carrying >=1 defect item in section-category 'brakes' (any disposition).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:brakes,lifetime,count,raw count,"0 = no such item ever, indistinguishable from absent item data. ZERO/MISSING CONFLATION AT SOURCE: the day atom coalesces the items join to 0 (factory/atoms.py:140) behind a LEFT JOIN (factory/atoms.py:240), so 'this prior test recorded no defect item' and 'this prior test's items are absent from the extract' are the same value. No item-data-coverage indicator exists in the 241",never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"AFFECTED-TESTS (days) for the family (factory/blocks.py:121). The RECORDED-ITEMS twin does not exist: the atom computes cat_brakes_n per day (factory/atoms.py:64) but state.update reads it only as a presence test (factory/state.py:425). MEASURED flat4y/r1m n=999,999: range [0 .. 22], NULL 0.000%"
b2_brakes_days_since,B2,factory/blocks.py:119-122; emitter factory/blocks.py:328-345,Days since the most recent prior test-day with a 'brakes' item; NULL when never observed.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:brakes,lifetime,recency_days,days,n/a,NULL when never observed (factory/blocks.py:122),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"recency in DAYS only; no intervening-tests and no mileage twin for any category. MEASURED flat4y/r1m n=999,999: range [1 .. 6636], NULL 47.138%"
b2_brakes_max_run,B2,factory/blocks.py:119-123; emitter factory/blocks.py:328-345,Longest run of CONSECUTIVE observed prior test-days carrying a 'brakes' item (recurrence).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:brakes,lifetime,streak_longest,consecutive OBSERVED test-days,0 = never present,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",different_window_or_semantics,"LONGEST run (factory/blocks.py:123) but over ANY disposition, so it is neither an advisory streak nor a failure streak. The CURRENT run is tracked in state.cat_run (factory/state.py:209) and never emitted. MEASURED flat4y/r1m n=999,999: range [0 .. 20], NULL 0.000%"
b2_brakes_persistence,B2,factory/blocks.py:119-124; emitter factory/blocks.py:328-345,b2_brakes_n_days / b1_n_prior_test_days -- share of observed test-days carrying 'brakes'; NULL without priors.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:brakes,lifetime,rate,per observed prior test-DAY,0.0 = never present,NULL without priors,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",equivalent,"per-observed-test exposure normalisation with BOTH raw terms shipped (factory/blocks.py:124). MEASURED flat4y/r1m n=999,999: range [-0.0 .. 1.0], NULL 7.639%"
b2_suspension_n_days,B2,factory/blocks.py:119-121; emitter factory/blocks.py:328-345,Prior test-days carrying >=1 defect item in section-category 'suspension' (any disposition).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:suspension,lifetime,count,raw count,"0 = no such item ever, indistinguishable from absent item data. ZERO/MISSING CONFLATION AT SOURCE: the day atom coalesces the items join to 0 (factory/atoms.py:140) behind a LEFT JOIN (factory/atoms.py:240), so 'this prior test recorded no defect item' and 'this prior test's items are absent from the extract' are the same value. No item-data-coverage indicator exists in the 241",never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"AFFECTED-TESTS (days) for the family (factory/blocks.py:121). The RECORDED-ITEMS twin does not exist: the atom computes cat_suspension_n per day (factory/atoms.py:64) but state.update reads it only as a presence test (factory/state.py:425). MEASURED flat4y/r1m n=999,999: range [0 .. 27], NULL 0.000%"
b2_suspension_days_since,B2,factory/blocks.py:119-122; emitter factory/blocks.py:328-345,Days since the most recent prior test-day with a 'suspension' item; NULL when never observed.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:suspension,lifetime,recency_days,days,n/a,NULL when never observed (factory/blocks.py:122),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"recency in DAYS only; no intervening-tests and no mileage twin for any category. MEASURED flat4y/r1m n=999,999: range [1 .. 6734], NULL 59.866%"
b2_suspension_max_run,B2,factory/blocks.py:119-123; emitter factory/blocks.py:328-345,Longest run of CONSECUTIVE observed prior test-days carrying a 'suspension' item (recurrence).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:suspension,lifetime,streak_longest,consecutive OBSERVED test-days,0 = never present,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",different_window_or_semantics,"LONGEST run (factory/blocks.py:123) but over ANY disposition, so it is neither an advisory streak nor a failure streak. The CURRENT run is tracked in state.cat_run (factory/state.py:209) and never emitted. MEASURED flat4y/r1m n=999,999: range [0 .. 27], NULL 0.000%"
b2_suspension_persistence,B2,factory/blocks.py:119-124; emitter factory/blocks.py:328-345,b2_suspension_n_days / b1_n_prior_test_days -- share of observed test-days carrying 'suspension'; NULL without priors.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:suspension,lifetime,rate,per observed prior test-DAY,0.0 = never present,NULL without priors,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",equivalent,"per-observed-test exposure normalisation with BOTH raw terms shipped (factory/blocks.py:124). MEASURED flat4y/r1m n=999,999: range [-0.0 .. 1.0], NULL 7.639%"
b2_tyres_n_days,B2,factory/blocks.py:119-121; emitter factory/blocks.py:328-345,Prior test-days carrying >=1 defect item in section-category 'tyres' (any disposition).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:tyres,lifetime,count,raw count,"0 = no such item ever, indistinguishable from absent item data. ZERO/MISSING CONFLATION AT SOURCE: the day atom coalesces the items join to 0 (factory/atoms.py:140) behind a LEFT JOIN (factory/atoms.py:240), so 'this prior test recorded no defect item' and 'this prior test's items are absent from the extract' are the same value. No item-data-coverage indicator exists in the 241",never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"AFFECTED-TESTS (days) for the family (factory/blocks.py:121). The RECORDED-ITEMS twin does not exist: the atom computes cat_tyres_n per day (factory/atoms.py:64) but state.update reads it only as a presence test (factory/state.py:425). MEASURED flat4y/r1m n=999,999: range [0 .. 18], NULL 0.000%"
b2_tyres_days_since,B2,factory/blocks.py:119-122; emitter factory/blocks.py:328-345,Days since the most recent prior test-day with a 'tyres' item; NULL when never observed.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:tyres,lifetime,recency_days,days,n/a,NULL when never observed (factory/blocks.py:122),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"recency in DAYS only; no intervening-tests and no mileage twin for any category. MEASURED flat4y/r1m n=999,999: range [1 .. 6664], NULL 38.433%"
b2_tyres_max_run,B2,factory/blocks.py:119-123; emitter factory/blocks.py:328-345,Longest run of CONSECUTIVE observed prior test-days carrying a 'tyres' item (recurrence).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:tyres,lifetime,streak_longest,consecutive OBSERVED test-days,0 = never present,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",different_window_or_semantics,"LONGEST run (factory/blocks.py:123) but over ANY disposition, so it is neither an advisory streak nor a failure streak. The CURRENT run is tracked in state.cat_run (factory/state.py:209) and never emitted. MEASURED flat4y/r1m n=999,999: range [0 .. 14], NULL 0.000%"
b2_tyres_persistence,B2,factory/blocks.py:119-124; emitter factory/blocks.py:328-345,b2_tyres_n_days / b1_n_prior_test_days -- share of observed test-days carrying 'tyres'; NULL without priors.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:tyres,lifetime,rate,per observed prior test-DAY,0.0 = never present,NULL without priors,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",equivalent,"per-observed-test exposure normalisation with BOTH raw terms shipped (factory/blocks.py:124). MEASURED flat4y/r1m n=999,999: range [-0.0 .. 1.0], NULL 7.639%"
b2_steering_n_days,B2,factory/blocks.py:119-121; emitter factory/blocks.py:328-345,Prior test-days carrying >=1 defect item in section-category 'steering' (any disposition).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:steering,lifetime,count,raw count,"0 = no such item ever, indistinguishable from absent item data. ZERO/MISSING CONFLATION AT SOURCE: the day atom coalesces the items join to 0 (factory/atoms.py:140) behind a LEFT JOIN (factory/atoms.py:240), so 'this prior test recorded no defect item' and 'this prior test's items are absent from the extract' are the same value. No item-data-coverage indicator exists in the 241",never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"AFFECTED-TESTS (days) for the family (factory/blocks.py:121). The RECORDED-ITEMS twin does not exist: the atom computes cat_steering_n per day (factory/atoms.py:64) but state.update reads it only as a presence test (factory/state.py:425). MEASURED flat4y/r1m n=999,999: range [0 .. 28], NULL 0.000%"
b2_steering_days_since,B2,factory/blocks.py:119-122; emitter factory/blocks.py:328-345,Days since the most recent prior test-day with a 'steering' item; NULL when never observed.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:steering,lifetime,recency_days,days,n/a,NULL when never observed (factory/blocks.py:122),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"recency in DAYS only; no intervening-tests and no mileage twin for any category. MEASURED flat4y/r1m n=999,999: range [1 .. 6640], NULL 88.974%"
b2_steering_max_run,B2,factory/blocks.py:119-123; emitter factory/blocks.py:328-345,Longest run of CONSECUTIVE observed prior test-days carrying a 'steering' item (recurrence).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:steering,lifetime,streak_longest,consecutive OBSERVED test-days,0 = never present,never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",different_window_or_semantics,"LONGEST run (factory/blocks.py:123) but over ANY disposition, so it is neither an advisory streak nor a failure streak. The CURRENT run is tracked in state.cat_run (factory/state.py:209) and never emitted. MEASURED flat4y/r1m n=999,999: range [0 .. 18], NULL 0.000%"
b2_steering_persistence,B2,factory/blocks.py:119-124; emitter factory/blocks.py:328-345,b2_steering_n_days / b1_n_prior_test_days -- share of observed test-days carrying 'steering'; NULL without priors.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:steering,lifetime,rate,per observed prior test-DAY,0.0 = never present,NULL without priors,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",equivalent,"per-observed-test exposure normalisation with BOTH raw terms shipped (factory/blocks.py:124). MEASURED flat4y/r1m n=999,999: range [-0.0 .. 1.0], NULL 7.639%"
b2_visibility_n_days,B2,factory/blocks.py:119-121; emitter factory/blocks.py:328-345,Prior test-days carrying >=1 defect item in section-category 'visibility' (any disposition).,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:visibility,lifetime,count,raw count,"0 = no such item ever, indistinguishable from absent item data. ZERO/MISSING CONFLATION AT SOURCE: the day atom coalesces the items join to 0 (factory/atoms.py:140) behind a LEFT JOIN (factory/atoms.py:240), so 'this prior test recorded no defect item' and 'this prior test's items are absent from the extract' are the same value. No item-data-coverage indicator exists in the 241",never NULL,as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"AFFECTED-TESTS (days) for the family (factory/blocks.py:121). The RECORDED-ITEMS twin does not exist: the atom computes cat_visibility_n per day (factory/atoms.py:64) but state.update reads it only as a presence test (factory/state.py:425). MEASURED flat4y/r1m n=999,999: range [0 .. 20], NULL 0.000%"
b2_visibility_days_since,B2,factory/blocks.py:119-122; emitter factory/blocks.py:328-345,Days since the most recent prior test-day with a 'visibility' item; NULL when never observed.,vehicle x prior test-DAY,vehicle_day atom (results + items),item_any_disposition:visibility,lifetime,recency_days,days,n/a,NULL when never observed (factory/blocks.py:122),as-of SAFE: emit-before-update over strictly earlier calendar days (factory/state.py:317-318; factory/blocks.py:9-10); falsifiers 1 and 4,none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low: O(1) per category per day, 8 categories in one pass (factory/state.py:424-452)",partial,"recency in DAYS only; no intervening-tests and no mileage twin for any category. MEASURED flat4y/r1m n=999,999: range [1 .. 6662], NULL 69.063%"
